PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Bildirim No,Sipariş No,ENLEM,BOYLAM,Toplam kwh,mahalle adı,ILCE_ADI,KAÇAK NEDENİ,HESAPLAMA YÖNTEMİ,NİTELİKLİ /NİTELİKSİZ DURUMU,Kulnc Drm.(CS Order),Sipariş türü,Gerçekleşen Tarih(sipariş),İşyeri/kaynak,Sonuç 1,Sonuç 1 grup kodu,Sonuç 2,Sonuç 2 grup kodu,Sonuç 3,Sonuç 3 grup kodu
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005769858.0,599505116.0,687250032.0,40.8893176550431,29.1839939053885,135936,YUKARI,KARTAL,4.0,1.0,NİTELİKLİ,OK,VC,04.12.2023,6800/50030216,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005211252.0,595961419.0,684237194.0,40.9406163257143,29.1118998271429,134006,ÇINAR,MALTEPE,4.0,1.0,NİTELİKLİ,OK,Z9,28.09.2023,6800/50390101,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,BEYKOZ O.M.,4005570454.0,596987099.0,685086996.0,41.1112539,29.220370884,128980,POLONEZKÖY,BEYKOZ,4.0,1.0,NİTELİKLİ,OK,VC,01.09.2023,6800/50030245,HATTAN DA KESİLMELİ,DİĞER SONUÇLAR,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4004164719.0,596315031.0,684529584.0,40.905236874566,29.2463570506425,126000,VELİBABA,PENDİK,4.0,1.0,NİTELİKLİ,OK,ZM,27.07.2023,6800/50030214,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,KURTKÖY O.M.,4004792904.0,599582405.0,687314549.0,40.8980539494902,29.2908116751399,125938,RAMAZANOĞLU,PENDİK,12.0,1.0,NİTELİKLİ,OK,VL,11.12.2023,6800/51790101,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005956744.0,598937293.0,686770857.0,40.9311484290897,29.1438044293409,124425,BAĞLARBAŞI,MALTEPE,4.0,1.0,NİTELİKLİ,OK,VC,07.11.2023,6800/50030207,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4006086788.0,598747805.0,686607301.0,40.9710363028464,29.0395891047973,121644,FENERBAHÇE,KADIKÖY,7.0,2.0,NİTELİKLİ,OK,VC,31.10.2023,6800/50190101,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,SAYACA MÜDAHELE.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004316498.0,594710539.0,683158951.0,40.9685500305,29.142130317,117775,FINDIKLI,MALTEPE,12.0,2.0,NİTELİKLİ,OK,VL,23.05.2023,6800/50030250,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005246041.0,598177604.0,686105685.0,40.9331891434207,29.1340813968818,112401,ALTAYÇEŞME,MALTEPE,4.0,1.0,NİTELİKLİ,OK,VC,05.10.2023,6800/50030207,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4005313489.0,595305683.0,683672548.0,40.8983474581818,29.2070479654545,112112,YUNUS,KARTAL,10.0,1.0,NİTELİKLİ,OK,Z9,19.06.2023,6800/50340205,ÖLÇÜ DEVRESİNE MÜDAHALE.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4005793497.0,597680320.0,685674915.0,41.0251028606784,29.1001065444726,108000,YAMANEVLER,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,18.09.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,KURTKÖY O.M.,4011389968.0,592409351.0,681178456.0,40.9290357932067,29.3072936845124,107279,YENİŞEHİR,PENDİK,12.0,1.0,NİTELİKLİ,OK,VL,24.01.2023,6800/50030241,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004418644.0,592325798.0,681105358.0,41.0180115704197,29.1657855180271,103356,AŞAĞI DUDULLU,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,20.01.2023,6800/50030252,ŞEBEKEDEN KAÇAK HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4004832901.0,599988573.0,687652586.0,41.014970632939,29.0969502335304,102889,İSTİKLAL,ÜMRANİYE,12.0,1.0,NİTELİKLİ,OK,VL,26.12.2023,6800/50030251,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,TUZLA O.M.,4005228772.0,599532198.0,687272813.0,40.8472520070768,29.2992394349033,102441,İÇMELER,TUZLA,10.0,1.0,NİTELİKLİ,OK,Z9,11.12.2023,6800/50030220,ÖLÇÜ DEVRESİNE MÜDAHALE.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4006146399.0,599537484.0,687277109.0,40.996175759,29.0517483240001,102185,FİKİRTEPE,KADIKÖY,4.0,1.0,NİTELİKLİ,OK,ZM,08.12.2023,6800/50030211,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,ERENKÖY O.M.,4005357547.0,592655708.0,681395486.0,40.9731500595168,29.0899283143843,101376,19 MAYIS,KADIKÖY,4.0,1.0,NİTELİKLİ,OK,VC,01.02.2023,6800/50030204,ÖLÇÜ DEVRESİNE MÜDAHALE.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4012208037.0,595957792.0,684234148.0,40.9931496131633,29.1838339317058,94500,ESENKENT,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,14.07.2023,6800/50030253,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4012208037.0,599857430.0,687544028.0,40.9931496131633,29.1838339317058,94500,ESENKENT,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,20.12.2023,6800/50030219,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4006164598.0,597054200.0,685143653.0,40.8758552117288,29.2505609725664,91154,KAYNARCA,PENDİK,10.0,1.0,NİTELİKLİ,OK,VC,23.08.2023,6800/50030221,ÖLÇÜ DEVRESİNE MÜDAHALE.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4011547779.0,598470492.0,686364209.0,40.9264632647571,29.1547260053742,90245,GÜLSUYU,MALTEPE,4.0,1.0,NİTELİKLİ,OK,VC,19.10.2023,6800/50030217,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005803402.0,595040880.0,683440162.0,40.907185665777,29.1782181502088,90017,ESENTEPE,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,07.06.2023,6800/50030221,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005803402.0,595751440.0,684060946.0,40.907185665777,29.1782181502088,90017,ESENTEPE,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,07.07.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005803402.0,596456470.0,684649049.0,40.907185665777,29.1782181502088,90017,ESENTEPE,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,01.08.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005803402.0,597250681.0,685306254.0,40.907185665777,29.1782181502088,90017,ESENTEPE,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,04.09.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005803402.0,598085164.0,686025544.0,40.907185665777,29.1782181502088,90017,ESENTEPE,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,10.10.2023,6800/50030203,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005803402.0,599009961.0,686833594.0,40.907185665777,29.1782181502088,90017,ESENTEPE,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,14.11.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005876300.0,598642292.0,686513861.0,40.9727022722237,29.1099158875479,89151,İÇERENKÖY,ATAŞEHİR,7.0,1.0,NİTELİKLİ,OK,VC,24.10.2023,6800/50030259,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4003869677.0,595163542.0,683548439.0,40.9798693459803,29.0438317781813,87437,FENERYOLU,KADIKÖY,4.0,1.0,NİTELİKLİ,OK,VC,12.06.2023,6800/50030212,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004484464.0,596914705.0,685027915.0,40.9783902332723,29.134368650829,86400,İNÖNÜ,ATAŞEHİR,4.0,1.0,NİTELİKLİ,OK,VC,17.08.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005841523.0,598940851.0,686773732.0,41.0973340849569,29.1503631423144,86400,ÇENGELDERE,BEYKOZ,4.0,1.0,NİTELİKLİ,OK,VC,07.11.2023,6800/50030219,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4011050578.0,596720009.0,684870424.0,40.9198803476221,29.1322490921301,85680,YALI,MALTEPE,4.0,1.0,NİTELİKLİ,OK,VC,10.08.2023,6800/50030221,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4006357911.0,596624305.0,684790079.0,41.0173471671897,29.1445533346353,84838,CEMİL MERİÇ,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,07.08.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4004637616.0,598573332.0,686452214.0,40.8682049108331,29.2827967915733,84240,ORHANGAZİ,PENDİK,4.0,1.0,NİTELİKLİ,OK,VC,21.10.2023,6800/50030221,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005282355.0,599265082.0,687052503.0,40.9914884224325,29.1771777580535,81886,ESENKENT,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,22.11.2023,6800/50030252,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4004930566.0,592117645.0,680923508.0,40.9236316863274,29.1525212316979,80662,CEVİZLİ,MALTEPE,12.0,2.0,NİTELİKLİ,OK,VL,19.01.2023,6800/50030211,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4012498559.0,593435472.0,682086992.0,41.0573974,28.6833532,80179,ESENKENT,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,13.03.2023,6800/50030250,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4005630180.0,597783304.0,685764858.0,40.8755529786782,29.2899017903367,78588,KAVAKPINAR,PENDİK,6.0,1.0,NİTELİKLİ,OK,VC,21.09.2023,6800/50030216,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4004512798.0,592366032.0,681140467.0,40.8947206395655,29.1705928285276,78570,KORDONBOYU,KARTAL,10.0,2.0,NİTELİKLİ,OK,Z9,09.02.2023,6800/50340205,ÖLÇÜ DEVRESİNE MÜDAHALE.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4010409762.0,593438884.0,682089951.0,40.9925801319184,29.1846072673428,76032,ESENKENT,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,13.03.2023,6800/50030252,ŞEBEKEDEN KAÇAK HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4004512866.0,594875070.0,683294954.0,40.896467314429,29.2144256898751,76032,TOPSELVİ,KARTAL,4.0,1.0,NİTELİKLİ,OK,VC,31.05.2023,6800/50030214,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005067689.0,594673178.0,683127745.0,41.0159756409345,29.1338491275856,75600,TEPEÜSTÜ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,20.05.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4006312435.0,594195538.0,682734063.0,40.9040402447551,29.1796720478165,74433,ATALAR,KARTAL,10.0,1.0,NİTELİKLİ,OK,ZM,24.04.2023,6800/50030210,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜSKÜDAR O.M.,4004936092.0,595277185.0,683647240.0,41.0238346956217,29.0352761592877,72000,SELAMİ ALİ,ÜSKÜDAR,4.0,1.0,NİTELİKLİ,OK,VC,15.06.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,KURTKÖY O.M.,4004512284.0,597545375.0,685559403.0,40.9127296289817,29.2781941044345,70226,SÜLÜNTEPE,PENDİK,12.0,1.0,NİTELİKLİ,OK,VL,13.09.2023,6800/50030239,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003845974.0,596419033.0,684616519.0,41.015778835175,29.1443393513626,69504,ALTINŞEHİR,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,31.07.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4010035305.0,597046847.0,685137564.0,41.0186095278144,29.1151712355356,69040,ARMAĞANEVLER,ÜMRANİYE,12.0,1.0,NİTELİKLİ,OK,VL,23.08.2023,6800/50030250,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,KURTKÖY O.M.,4004905495.0,599387028.0,687152299.0,40.9294287260855,29.3907807441428,66879,TEPEÖREN,TUZLA,12.0,1.0,NİTELİKLİ,OK,VL,29.11.2023,6800/50030243,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4003935555.0,599371216.0,687138356.0,40.971282744689,29.1285524432041,66800,FINDIKLI,MALTEPE,4.0,1.0,NİTELİKLİ,OK,VC,27.11.2023,6800/50030259,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4005351381.0,597079228.0,685229814.0,41.0015932074956,29.0795395620557,65160,ÖRNEK,ATAŞEHİR,4.0,1.0,NİTELİKLİ,OK,ZM,31.08.2023,6800/50030219,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4006075891.0,595713454.0,684027973.0,41.0252888864307,29.0916660215484,64800,ATATÜRK,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,05.07.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4012776846.0,593448582.0,682098281.0,41.0573974,28.6833532,63867,ESENKENT,ÜMRANİYE,8.0,1.0,NİTELİKLİ,OK,VC,13.03.2023,6800/50030252,ŞEBEKEDEN KAÇAK HAT.,KAÇAK,KAYITTA OLMAYAN SAYAÇ(TESİSATSIZ).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4006347867.0,598942193.0,686774590.0,40.9146199975685,29.2323360203196,63556,YAKACIK ÇARŞI,KARTAL,12.0,1.0,NİTELİKLİ,OK,VL,07.11.2023,6800/50030216,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4006020160.0,598119429.0,686055997.0,40.8888408211737,29.2728903810396,63360,ESENLER,PENDİK,4.0,1.0,NİTELİKLİ,OK,VC,03.10.2023,6800/50030221,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005323545.0,599909773.0,687587248.0,41.0088645596248,29.188315920187,62433,MECLİS,SANCAKTEPE,4.0,1.0,NİTELİKLİ,OK,VC,22.12.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
